company_name,ticker,exchanges,cik,erp_vendors,filing_count,sic_description,sic,category,address_city,address_state,address_zip,phone,website,keywords_found,filing_type,filed_date,biz_location,biz_state,inc_state,all_tickers,fiscal_year_end,address_street
CHASE CORP,,,830524,Oracle,4,Electric Lighting & Wiring Equipment,3640,Accelerated filer,WESTWOOD,MA,02090,7813320700,,"""Oracle Fusion""",10-Q,2023-11-09,"Westwood, MA",MA,MA,,0831,375 UNIVERSITY AVE
Addus HomeCare Corp,ADUS,Nasdaq,1468328,Oracle,4,Services-Home Health Care Services,8082,Large accelerated filer,FRISCO,TX,75034,469-535-8200,,"""Oracle Fusion""",10-K,2026-02-24,"Frisco, TX",TX,DE,ADUS,1231,6303 COWBOYS WAY
LAKELAND INDUSTRIES INC,LAKE,Nasdaq,798081,SAP | Salesforce,3,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",3842,Accelerated filer<br>Smaller reporting company,HUNTSVILLE,AL,35806,800-645-9291,,"""SAP ERP"" | ""SAP enterprise"" | ""Salesforce CRM""",10-K,2025-04-17,"Huntsville, AL",AL,DE,LAKE,0131,"1525 PERIMETER PARKWAY, SUITE 325"
"C3.ai, Inc.",AI,NYSE,1577526,SAP,3,Services-Prepackaged Software,7372,Large accelerated filer,REDWOOD CITY,CA,94063,650-503-2200,,"""SAP ERP""",10-K,2025-06-23,"Redwood City, CA",CA,DE,AI,0430,1400 SEAPORT BLVD
PDF SOLUTIONS INC,PDFS,Nasdaq,1120914,SAP,3,Services-Prepackaged Software,7372,Large accelerated filer,SANTA CLARA,CA,95050,4082807900,,"""SAP S/4HANA""",10-K,2025-02-27,"Santa Clara, CA",CA,DE,PDFS,1231,2858 DE LA CRUZ BOULEVARD
Northwest Natural Holding Co,NWN,NYSE,1733998,SAP,3,Natural Gas Distribution,4924,Large accelerated filer,PORTLAND,OR,97204,503-226-4211,,"""SAP system""",10-K,2025-02-28,"Portland, OR",OR,OR,NWN,1231,250 SW TAYLOR STREET
"YETI Holdings, Inc.",YETI,NYSE,1670592,SAP,3,"Sporting & Athletic Goods, NEC",3949,Large accelerated filer,AUSTIN,TX,78735,(512) 394-9384,,"""SAP enterprise""",10-K,2023-08-10,"Austin, TX",TX,DE,YETI,0103,7601 SOUTHWEST PARKWAY
MOSAIC CO,MOS,NYSE,1285785,SAP,3,Agricultural Chemicals,2870,Large accelerated filer,TAMPA,FL,33602,813-775-4200,,"""SAP enterprise""",10-K,2026-02-27,"Tampa, FL",FL,,MOS,1231,101 EAST KENNEDY BLVD.
"TreeHouse Foods, Inc.",THS,NYSE,1320695,SAP,3,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",2030,Large accelerated filer,OAK BROOK,IL,60523,7084095315,,"""SAP enterprise""",10-K,2025-02-14,"Oak Brook, IL",IL,DE,THS,1231,2021 SPRING ROAD
Qualtrics International Inc.,,,1747748,SAP | Salesforce,3,Services-Prepackaged Software,7372,Large accelerated filer,PROVO,UT,84604,385-203-4999,,"""SAP SuccessFactors"" | ""Slack"" AND ""Salesforce""",10-K,2023-02-24,"Provo, UT",UT,,,1231,333 WEST RIVER PARK DRIVE
OCULUS INC.,OVTZ,OTC,1107280,Salesforce,3,"Services-Business Services, NEC",7389,Non-accelerated filer<br>Smaller reporting company,VANCOUVER,,V6C 3N6,6046851017,,"""Salesforce CRM""",10-K,2025-03-20,"Vancouver, A1",A1,WY,OVTZ,1231,837 WEST HASTINGS STREET
"Bridgeline Digital, Inc.",BLIN,Nasdaq,1378590,Salesforce,3,Services-Prepackaged Software,7372,Non-accelerated filer<br>Smaller reporting company,WOBURN,MA,01801,781 376 5555,,"""Salesforce platform""",10-K,2025-12-19,"Woburn, MA",MA,DE,BLIN,0930,"100 TRADE CENTER, SUITE G-700"
Sunnova Energy International Inc.,NOVA,OTC,1772695,Salesforce,3,Electric & Other Services Combined,4931,Large accelerated filer,HOUSTON,TX,77046,(281) 985-9900,,"""Salesforce platform""",10-K,2025-03-03,"Houston, TX",TX,DE,NOVAQ,1231,"20 EAST GREENWAY PLAZA, SUITE 540"
"RESOURCES CONNECTION, INC.",RGP,Nasdaq,1084765,Salesforce,3,"Services-Business Services, NEC",7389,Accelerated filer,DALLAS,TX,75248,2147770600,,"""Salesforce software""",10-K,2025-07-28,"Irvine, CA",CA,DE,RGP,0531,15950 NORTH DALLAS PARKWAY
MANHATTAN ASSOCIATES INC,MANH,Nasdaq,1056696,Salesforce,3,Services-Prepackaged Software,7372,Large accelerated filer,ATLANTA,GA,30339,7709557070,,"""Sales Cloud""",10-Q,2025-07-25,"Atlanta, GA",GA,GA,MANH,1231,2300 WINDY RIDGE PARKWAY TENTH FLOOR
8X8 INC /DE/,EGHT,Nasdaq,1023731,Salesforce | Oracle,3,Services-Computer Processing & Data Preparation,7374,Accelerated filer,CAMPBELL,CA,95008,4087271885,,"""Sales Cloud"" | ""Oracle Cloud""",10-K,2025-05-22,"Campbell, CA",CA,DE,EGHT,0331,675 CREEKSIDE WAY
Inspirato Inc,,,1820566,Salesforce,3,Blank Checks,6770,<br>Emerging growth company,DENVER,CO,80202,303-586-7771,,"""Salesforce Marketing Cloud""",10-K,2025-03-26,"Denver, CO",CO,DE,,1231,1544 WAZEE STREET
"BrightSpring Health Services, Inc.",BTSG,"Nasdaq,Nasdaq",1865782,Oracle,3,Services-Home Health Care Services,8082,Large accelerated filer,LOUISVILLE,KY,40222,502-394-2100,,"""Oracle Fusion""",10-K,2026-02-27,"Louisville, KY",KY,DE,"BTSG,BTSGU",1231,805 N. WHITTINGTON PARKWAY
Centessa Pharmaceuticals plc,CNTA,Nasdaq,1847903,Oracle,3,Pharmaceutical Preparations,2834,<br>Emerging growth company,"ALTRINCHAM, CHESHIRE",X0,WA14 2DT,44 7391 789784,,"""Oracle system""",10-K,2025-03-24,"Altrincham, Cheshire, X0",X0,X0,CNTA,1231,3RD FLOOR
"V2X, Inc.",VVX,NYSE,1601548,SAP,2,Services-Facilities Support Management Services,8744,Large accelerated filer,RESTON,VA,,(571) 481-2000,,"""SAP S/4HANA""",10-K,2026-02-23,"Reston, VA",VA,IN,VVX,1231,2100 RESTON PARKWAY
DELUXE CORP,DLX,NYSE,27996,SAP,2,"Blankbooks, Looseleaf Binders & Bookbindg & Relatd Work",2780,Large accelerated filer,MINNEAPOLIS,MN,55402,6514837111,,"""SAP S/4HANA"" | ""SAP platform""",10-Q,2023-05-09,"Minneapolis, MN",MN,MN,DLX,1231,801 S. MARQUETTE AVE.
"CF Industries Holdings, Inc.",CF,NYSE,1324404,SAP,2,Agricultural Chemicals,2870,Large accelerated filer,NORTHBROOK,IL,60062,(847) 405-2400,,"""SAP S/4HANA""",10-Q,2023-05-02,"Deerfield, IL",IL,DE,CF,1231,2375 WATERVIEW DRIVE
"Delek US Holdings, Inc.",DK,NYSE,1694426,SAP,2,Petroleum Refining,2911,Large accelerated filer,BRENTWOOD,TN,37027,615-771-6701,,"""SAP S/4HANA""",10-K,2024-02-28,"Brentwood, TN",TN,DE,DK,1231,310 SEVEN SPRINGS WAY
Evoke Pharma Inc,EVOK,Nasdaq,1403708,SAP,2,Pharmaceutical Preparations,2834,Non-accelerated filer<br>Smaller reporting company,SOLANA BEACH,CA,92075,858-345-1494,,"""SAP system""",10-K/A,2024-05-14,"Solana Beach, CA",CA,DE,EVOK,1231,420 STEVENS AVENUE
Healthcare Integrated Technologies Inc.,HITC,OTC,1584693,SAP,2,Services-Amusement & Recreation Services,7900,Non-accelerated filer<br>Smaller reporting company,KNOXVILLE,TN,37919,865-237-4448,,"""SAP system""",10-K,2024-10-29,"Knoxville, TN",TN,NV,SSGC,0731,311 S. WEISGARBER ROAD
"Centuri Holdings, Inc.",CTRI,NYSE,1981599,SAP,2,Natural Gas Transmisison & Distribution,4923,Large accelerated filer,PHOENIX,AZ,85027,(623) 582-1235,,"""SAP system""",10-K,2025-02-26,"Phoenix, AZ",AZ,DE,CTRI,1228,19820 NORTH 7TH AVENUE SUITE 120
Solventum Corp,SOLV,NYSE,1964738,SAP,2,Surgical & Medical Instruments & Apparatus,3841,Large accelerated filer,EAGAN,MN,55121,651-733-1110,,"""SAP enterprise""",10-Q,2025-11-06,"St. Paul, MN",MN,DE,SOLV,1231,1750 YANKEE DOODLE ROAD
ENTEGRIS INC,ENTG,Nasdaq,1101302,SAP,2,"Plastics Products, NEC",3089,Large accelerated filer,BILLERICA,MA,01821,9784366500,,"""SAP enterprise""",10-Q,2023-11-02,"Billerica, MA",MA,DE,ENTG,1231,129 CONCORD ROAD
Two Hands Corp,TWOH,OTC,1494413,SAP,2,"Services-Business Services, NEC",7389,Non-accelerated filer<br>Smaller reporting company,LOCUST VALLEY,NY,11560,516-384-2577,,"""SAP enterprise""",10-K,2024-04-01,"North York, A6",A6,DE,TWOH,1231,141 PIPING ROCK ROAD
Monster Beverage Corp,MNST,Nasdaq,865752,SAP,2,Bottled & Canned Soft Drinks & Carbonated Waters,2086,Large accelerated filer,CORONA,CA,92879,909-739-6200,,"""SAP enterprise""",10-K,2024-02-29,"Corona, CA",CA,,MNST,1231,1 MONSTER WAY
Univar Solutions Inc.,,,1494319,SAP,2,Wholesale-Chemicals & Allied Products,5160,Large accelerated filer,DOWNERS GROVE,IL,60515,331-777-6000,,"""SAP implementation""",10-Q,2023-07-31,"Downers Grove, IL",IL,DE,,1231,3075 HIGHLAND PARKWAY
ALBANY INTERNATIONAL CORP /DE/,AIN,NYSE,819793,SAP,2,"Broadwoven Fabric Mills, Man Made Fiber & Silk",2221,Large accelerated filer,ROCHESTER,NH,03867,6033305850,,"""SAP platform""",10-Q,2024-10-30,"Rochester, NH",NH,DE,AIN,1231,216 AIRPORT DRIVE
NIQ Global Intelligence plc,NIQ,NYSE,2054696,SAP,2,"Services-Computer Programming, Data Processing, Etc.",7370,Non-accelerated filer,CHICAGO,IL,60606,312-583-5100,,"""SAP platform""",10-Q,2025-11-13,"Chicago, IL",IL,L2,NIQ,1231,200 WEST JACKSON BOULEVARD
"NETGEAR, INC.",NTGR,Nasdaq,1122904,SAP,2,Telephone & Telegraph Apparatus,3661,Large accelerated filer,SAN JOSE,CA,95134,4089078000,,"""SAP SuccessFactors""",10-K,2024-02-16,"San Jose, CA",CA,DE,NTGR,1231,3553 N. FIRST STREET
Sterling Check Corp.,STER,,1645070,SAP,2,Services-Computer Processing & Data Preparation,7374,<br>Emerging growth company,INDEPENDENCE,OH,44131,19175485241,,"""SAP SuccessFactors""",10-K,2024-03-06,"New York, NY",NY,DE,,1231,STERLING CHECKCORP INC.
BENTLEY SYSTEMS INC,BSY,Nasdaq,1031308,SAP,2,Services-Prepackaged Software,7372,Large accelerated filer,EXTON,PA,19341,6104585000,,"""SAP Ariba""",10-K,2026-02-26,"Exton, PA",PA,DE,BSY,1231,685 STOCKTON DRIVE
RICHTECH ROBOTICS INC.,RR,Nasdaq,1963685,Salesforce,2,"General Industrial Machinery & Equipment, NEC",3569,<br>Emerging growth company,LAS VEGAS,NV,89115,8662363835,,"""Salesforce CRM""",10-K/A,2024-03-27,"Las Vegas, NV",NV,NV,RR,0930,2975 LINCOLN ROAD
"Airsculpt Technologies, Inc.",AIRS,Nasdaq,1870940,Salesforce,2,Services-Offices & Clinics of  Doctors of  Medicine,8011,<br>Emerging growth company,MIAMI BEACH,FL,33139,(786) 709-9690,,"""Salesforce implementation"" | ""Salesforce software""",10-Q,2025-11-07,"Miami Beach, FL",FL,,AIRS,1231,1111 LINCOLN ROAD
RITCHIE BROS AUCTIONEERS INC,RBA,NYSE,1046102,Salesforce,2,"Services-Business Services, NEC",7389,Large accelerated filer,BURNABY,,V5J 0C6,(778) 331-5300,,"""Sales Cloud""",10-Q,2023-05-10,"Westchester, IL",IL,A6,RBA,1231,9500 GLENLYON PARKWAY
"Vericity, Inc.",,,1575434,Salesforce,2,Life Insurance,6311,<br>Emerging growth company,DES PLAINES,IL,60018,800-369-3990,,"""Sales Cloud""",10-K,2024-04-01,"Chicago, IL",IL,DE,,1231,1350 E TOUHY
"Hongchang International Co., Ltd",HCIL,OTC,1086303,Salesforce,2,Electromedical & Electrotherapeutic Apparatus,3845,Non-accelerated filer<br>Smaller reporting company,"FUQING CITY, FUZHOU CITY",,350300,86 180 5901 6050,,"""Service Cloud""",10-Q,2025-11-13,"Fuqing City, Fuzhou City",,NV,HCIL,0331,"ROOM 2409, RONGSHANG BUILDING, FUREN AVE"
"BILL Holdings, Inc.",BILL,NYSE,1786352,Salesforce,2,Services-Prepackaged Software,7372,Large accelerated filer,SAN JOSE,CA,95002,(650) 621-7700,,"""Service Cloud""",10-K/A,2023-05-26,"San Jose, CA",CA,DE,BILL,0630,6220 AMERICA CENTER DR.
"RHYTHM PHARMACEUTICALS, INC.",RYTM,Nasdaq,1649904,Salesforce,2,Pharmaceutical Preparations,2834,Large accelerated filer,BOSTON,MA,02116,857-264-4280,,"""Service Cloud""",10-K,2023-03-01,"Boston, MA",MA,DE,RYTM,1231,222 BERKELEY STREET
"SurgePays, Inc.",SURG,Nasdaq,1392694,Salesforce,2,Telephone Communications (No Radiotelephone),4813,Non-accelerated filer<br>Smaller reporting company,BARTLETT,TN,38133,901-302-9587,,"""Service Cloud""",10-K,2024-03-12,"Bartlett, TN",TN,NV,SURG,1231,3124 BROTHER BLVD
"BigCommerce Holdings, Inc.",BIGC,Nasdaq,1626450,Salesforce,2,Services-Prepackaged Software,7372,Accelerated filer,AUSTIN,TX,78758,1-888-699-8911,,"""Salesforce Commerce Cloud""",10-K,2024-02-29,"Austin, TX",TX,DE,CMRC,1231,"11920 ALTERRA PARKWAY, DL 11,"
FEDEX CORP,FDX,NYSE,1048911,Salesforce,2,Air Courier Services,4513,Large accelerated filer,MEMPHIS,TN,38120-,9018187500,,"""Salesforce Commerce Cloud""",10-K,2024-07-15,"Memphis, TN",TN,DE,FDX,0531,942 SOUTH SHADY GROVE ROAD
PERFICIENT INC,PRFT,,1085869,Salesforce,2,Services-Computer Programming Services,7371,Large accelerated filer,SAINT LOUIS,MO,63141,314-529-3600,,"""MuleSoft""",10-K,2024-02-27,"Saint Louis, MO",MO,DE,,1231,555 MARYVILLE UNIVERSITY DRIVE
"Verb Technology Company, Inc.",VERB,Nasdaq,1566610,Salesforce,2,Services-Personal Services,7200,Non-accelerated filer<br>Smaller reporting company,LAS VEGAS,NV,89102,855-250-2300,,"""Salesforce integration""",10-Q,2023-05-22,"Lehi, UT",UT,NV,TONX,1231,2300 WEST SAHARA AVENUE
"GEX MANAGEMENT, INC.",GXXM,OTC,1681556,Salesforce,2,Services-Management Consulting Services,8742,<br>Emerging growth company,DALLAS,TX,75243,877-210-4396,,"""Slack"" AND ""Salesforce""",10-K,2023-04-17,"Dallas, TX",TX,TX,GXXM,1231,12001 N CENTRAL EXPRESSWAY
MSD ACQUISITION CORP. / NEW,,,1846996,Salesforce,2,Blank Checks,6770,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,NEW YORK,NY,10017,212-303-7822,,"""Slack"" AND ""Salesforce""",10-K,2023-03-29,"New York, NY",NY,E9,,1231,"ONE VANDERBILT AVENUE, 26TH FLOOR"
Live Current Media Inc.,,,1108630,Salesforce,2,"Services-Business Services, NEC",7389,Non-accelerated filer<br>Smaller reporting company,RENO,NV,89501,604-648-0500,,"""Slack"" AND ""Salesforce""",10-K,2023-04-21,"Reno, NV",NV,NV,,1231,50 WEST LIBERTY STREET
Redfin Corp,RDFN,,1382821,Salesforce,2,Real Estate Agents & Managers (For Others),6531,Large accelerated filer,seattle,WA,98101,(206) 576-8610,,"""Slack"" AND ""Salesforce""",10-Q,2023-11-02,"Seattle, wa",wa,,,1231,"1099 STEWART STREET, SUITE 600"
MONOGRAM ORTHOPAEDICS INC,MGRM,,1769759,Oracle,2,Surgical & Medical Instruments & Apparatus,3841,<br>Emerging growth company,AUSTIN,TX,78744,512-399-2656,,"""Oracle ERP""",10-K,2025-03-12,"Brooklyn, NY",NY,DE,MGRM,1231,3913 TODD LANE
"Babcock & Wilcox Enterprises, Inc.",BW,"NYSE,NYSE,NYSE",1630805,Oracle,2,"Heating Equipment, Except Electric & Warm Air Furnaces",3433,Accelerated filer<br>Smaller reporting company,AKRON,OH,44305,3308606205,,"""Oracle ERP"" | ""Oracle system""",10-Q,2025-05-12,"Akron, OH",OH,DE,"BW,BWNB,BW-PA",1231,"1200 E. MARKET STREET, SUITE 650"
"Sally Beauty Holdings, Inc.",SBH,NYSE,1368458,Oracle,2,"Retail-Retail Stores, NEC",5990,Large accelerated filer,PLANO,TX,75024,(940) 898-7500,,"""Oracle Cloud""",10-Q,2025-02-13,"Denton, TX",TX,,SBH,0930,7900 WINDROSE AVENUE
"Fortinet, Inc.",FTNT,Nasdaq,1262039,Oracle,2,"Computer Peripheral Equipment, NEC",3577,Large accelerated filer,SUNNYVALE,CA,94086,408-235-7700,,"""Oracle Cloud""",10-K,2023-02-24,"Sunnyvale, CA",CA,,FTNT,1231,909 KIFER ROAD
Gogo Inc.,GOGO,Nasdaq,1537054,Oracle,2,"Communications Services, NEC",4899,Large accelerated filer,BROOMFIELD,CO,80021,(303) 301-3271,,"""Oracle Cloud""",10-Q,2024-11-05,"Broomfield, CO",CO,DE,GOGO,1231,"105 EDGEVIEW DR., SUITE 300"
ROPER TECHNOLOGIES INC,ROP,Nasdaq,882835,Oracle,2,"Industrial Instruments For Measurement, Display, and Control",3823,Large accelerated filer,SARASOTA,FL,34240,9415562601,,"""Oracle Cloud""",10-K,2026-02-24,"Sarasota, FL",FL,DE,ROP,1231,6496 UNIVERSITY PARKWAY
"FIVE BELOW, INC",FIVE,Nasdaq,1177609,Oracle,2,Retail-Variety Stores,5331,Large accelerated filer,PHILADELPHIA,PA,19106,215 546 7909,,"""Oracle Fusion""",10-K,2026-03-19,"Philadelphia, PA",PA,PA,FIVE,0131,701 MARKET STREET
"Phoenix Education Partners, Inc.",PXED,NYSE,1600222,Oracle,2,Services-Educational Services,8200,<br>Emerging growth company,PHOENIX,AZ,85040,800-990-2765,,"""Oracle E-Business Suite"" | ""Oracle EBS""",10-Q,2026-01-13,"Phoenix, AZ",AZ,DE,PXED,0831,4035 S. RIVERPOINT PARKWAY
Sphere Entertainment Co.,SPHR,NYSE,1795250,Oracle,2,Services-Amusement & Recreation Services,7900,Large accelerated filer,NEW YORK,NY,10121,725-258-0001,,"""Oracle E-Business Suite"" | ""Oracle system""",10-K,2026-02-12,"New York, NY",NY,NV,SPHR,1231,TWO PENNSYLVANIA PLAZA
"CommScope Holding Company, Inc.",COMM,Nasdaq,1517228,SAP,1,Radio & Tv Broadcasting & Communications Equipment,3663,Large accelerated filer,RICHARDSON,TX,75082,828-459-5000,,"""SAP S/4HANA""",10-Q,2023-11-09,"Claremont, NC",NC,DE,VISN,1231,2601 TELECOM PARKWAY
BELDEN INC.,BDC,NYSE,913142,SAP,1,Drawing & Insulating of  Nonferrous Wire,3357,Large accelerated filer,ST. LOUIS,MO,63105,314-854-8000,,"""SAP S/4HANA""",10-K,2026-02-17,"St. Louis, MO",MO,DE,BDC,1231,1 NORTH BRENTWOOD BLVD
DAVEY TREE EXPERT CO,,,277638,SAP,1,Agricultural Services,0700,Non-accelerated filer,KENT,OH,44240-5193,3306739511,,"""SAP S/4HANA""",10-K,2023-03-16,"Kent, OH",OH,OH,,1231,1500 N MANTUA ST
INTERNATIONAL BUSINESS MACHINES CORP,IBM,NYSE,51143,SAP,1,Computer & office Equipment,3570,Large accelerated filer,ARMONK,NY,10504,9144991900,,"""SAP HANA""",10-Q,2024-07-30,"Armonk, NY",NY,NY,IBM,1231,1 NEW ORCHARD ROAD
"Rubrik, Inc.",RBRK,NYSE,1943896,SAP,1,Services-Prepackaged Software,7372,Large accelerated filer,PALO ALTO,CA,94304,8444782745,,"""SAP HANA""",10-K,2025-03-20,"Palo Alto, CA",CA,DE,RBRK,0131,3495 DEER CREEK ROAD
"Rackspace Technology, Inc.",RXT,Nasdaq,1810019,SAP,1,"Services-Computer Programming, Data Processing, Etc.",7370,Accelerated filer<br>Smaller reporting company,SAN ANTONIO,TX,78258-7667,1-800-961-4454,,"""SAP HANA""",10-K,2023-03-16,"San Antonio, TX",TX,DE,RXT,1231,19122 US HIGHWAY 281N
ALBEMARLE CORP,ALB,"NYSE,NYSE",915913,SAP,1,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",2821,Large accelerated filer,CHARLOTTE,NC,28209,980-299-5700,,"""SAP system""",10-K,2024-02-15,"Charlotte, NC",NC,VA,"ALB,ALB-PA",1231,4250 CONGRESS STREET
"Merck & Co., Inc.",MRK,NYSE,310158,SAP,1,Pharmaceutical Preparations,2834,Large accelerated filer,RAHWAY,NJ,07065,908-740-4000,,"""SAP system""",10-K,2026-02-24,"Rahway, NJ",NJ,NJ,MRK,1231,126 EAST LINCOLN AVENUE
"Kyndryl Holdings, Inc.",KD,NYSE,1867072,SAP,1,Services-Computer Integrated Systems Design,7373,Large accelerated filer,NEW YORK,NY,10017,(855) 596-3795,,"""SAP enterprise""",10-Q,2023-08-08,"New York, NY",NY,DE,KD,0331,ONE VANDERBILT AVENUE
MERCADOLIBRE INC,MELI,Nasdaq,1099590,SAP,1,"Services-Business Services, NEC",7389,Large accelerated filer,MONTEVIDEO,X3,11300,598-2-2927-2770,,"""SAP enterprise""",10-Q,2024-05-03,"Montevideo, X3",X3,,MELI,1231,DR. LUIS BONAVITA 1294 OF. 1733 TOWER II
Hanesbrands Inc.,HBI,,1359841,SAP,1,Retail-Apparel & Accessory Stores,5600,Large accelerated filer,WINSTON-SALEM,NC,27101,(336) 519-8080,,"""SAP enterprise""",10-K,2024-02-16,"Winston-salem, NC",NC,MD,,0103,101 NORTH CHERRY STREET
Mount Logan Capital Inc.,MLCI,"Nasdaq,Nasdaq",2051820,SAP,1,Investment Advice,6282,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,NEW YORK,NY,10022,(212) 486-6333,,"""SAP enterprise""",10-K,2026-03-19,"New York, NY",NY,DE,"MLCI,MLCIL",1231,650 MADISON AVE.
MP Materials Corp. / DE,MP,NYSE,1801368,SAP,1,Metal Mining,1000,Large accelerated filer,LAS VEGAS,NV,89135,(702) 844-6111,,"""SAP implementation""",10-K,2023-02-28,"Las Vegas, NV",NV,DE,MP,1231,1700 S. PAVILION CENTER DR.
BRB Foods Inc.,BRBF,,1976870,SAP,1,Food and Kindred Products,2000,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,DOVER,DE,19901,55 11 4040-5766,,"""SAP Business One""",10-Q,2025-12-12,"Dover, DE",DE,DE,BRBF,1231,8 THE GREEN STE #3
Akerna Corp.,GRYP,Nasdaq,1755953,SAP,1,Finance Services,7374,Non-accelerated filer<br>Smaller reporting company,MIAMI,FL,33131,(305) 224 6427,,"""SAP Business One""",10-K,2023-03-21,"Denver, CO",CO,,ABTC,1231,1101 BRICKELL AVENUE
HireRight Holdings Corp,,,1859285,SAP,1,"Services-Business Services, NEC",7389,<br>Emerging growth company,NASHVILLE,TN,37214,615-320-9800,,"""SAP SuccessFactors""",10-K/A,2024-04-17,"Nashville, TN",TN,DE,,1231,100 CENTERVIEW DRIVE
"Cannae Holdings, Inc.",CNNE,NYSE,1704720,SAP,1,Retail-Eating & Drinking Places,5810,Large accelerated filer,LAS VEGAS,NV,89134,702-323-7334,,"""SAP SuccessFactors""",10-K,2024-02-29,"Las Vegas, NV",NV,DE,CNNE,1231,"C/O CANNAE HOLDINGS, INC."
Skillsoft Corp.,SKIL,"NYSE,OTC",1774675,SAP,1,Services-Prepackaged Software,7372,Accelerated filer<br>Smaller reporting company,NASHUA,NH,03062,603-821-3902,,"""SAP SuccessFactors""",10-K,2025-04-14,"Nashua, NH",NH,DE,"SKIL,SKILW",0131,300 INNOVATIVE WAY
ODP Corp,ODP,,800240,SAP,1,Retail-Miscellaneous Shopping Goods Stores,5940,Large accelerated filer,BOCA RATON,FL,33496,561-438-4800,,"""SAP Ariba""",10-Q,2023-08-09,"Boca Raton, FL",FL,DE,,1228,6600 NORTH MILITARY TRAIL
Allegiant Travel CO,ALGT,Nasdaq,1362468,SAP,1,"Air Transportation, Scheduled",4512,Large accelerated filer,LAS VEGAS,NV,89144,702-851-7300,,"""SAP Ariba""",10-K,2024-02-29,"Las Vegas, NV",NV,NV,ALGT,1231,1201 N. TOWN CENTER DRIVE
Ethos Technologies Inc.,LIFE,Nasdaq,1788451,SAP,1,"Insurance Agents, Brokers & Service",6411,Non-accelerated filer<br>Emerging growth company,AUSTIN,TX,78754,(415) 915-0665,,"""SAP Ariba""",10-K,2026-03-17,"Austin, TX",TX,DE,LIFE,1231,1606 HEADWAY CIRCLE
Waystar Holding Corp.,WAY,Nasdaq,1990354,SAP,1,Services-Computer Integrated Systems Design,7373,Large accelerated filer,LEHI,UT,84043,844-492-9782,,"""SAP Ariba""",10-K,2025-02-18,"Lehi, UT",UT,DE,WAY,1231,"1550 DIGITAL DRIVE, #300"
WNS,WNS,,1356570,SAP,1,"Services-Business Services, NEC",7389,Large accelerated filer,MUMBAI,,400079,918657454791,,"""SAP Ariba""",10-K,2025-05-13,"Mumbai, K7",K7,XX,WNS,0331,"GATE 4, GODREJ & BOYCE COMPLEX"
"Navan, Inc.",NAVN,Nasdaq,1639723,SAP,1,Services-Prepackaged Software,7372,<br>Emerging growth company,PALO ALTO,CA,94306,650-988-8500,,"""SAP Concur""",10-Q,2025-12-15,"Palo Alto, CA",CA,DE,NAVN,0131,3045 PARK BOULEVARD
AMERICAN EXPRESS CO,AXP,NYSE,4962,SAP,1,Finance Services,6199,Large accelerated filer,NEW YORK,NY,10285,2126402000,,"""SAP Concur""",10-K,2026-02-06,"New York, NY",NY,NY,AXP,1231,200 VESEY STREET
"Live Oak Bancshares, Inc.",LOB,"NYSE,NYSE",1462120,Salesforce,1,State Commercial Banks,6022,Large accelerated filer,WILMINGTON,NC,28403,910-790-5867,,"""Salesforce CRM""",10-Q,2023-08-02,"Wilmington, NC",NC,NC,"LOB,LOB-PA",1231,1741 TIBURON DRIVE
Blink Charging Co.,BLNK,Nasdaq,1429764,Salesforce,1,"Miscellaneous Electrical Machinery, Equipment & Supplies",3790,Accelerated filer,BOWIE,MD,20715,(305) 521-0200,,"""Salesforce CRM""",10-K/A,2024-04-26,"Miami Beach, FL",FL,NV,BLNK,1231,"17301 MELFORD BLVD.,"
"PROS Holdings, Inc.",PRO,,1392972,Salesforce,1,Services-Computer Programming Services,7371,Large accelerated filer,HOUSTON,TX,77098,713-335-5151,,"""Salesforce CRM""",10-K,2023-02-15,"Houston, TX",TX,DE,,1231,3200 KIRBY DR.
Renalytix plc,RNLXY,"OTC,OTC",1811115,Salesforce,1,Services-Medical Laboratories,8071,<br>Emerging growth company,LONDON,,,44 29 2071 0570,,"""Salesforce platform""",10-Q,2023-11-14,"London, X0",X0,DE,"RNLXY,RENXF",0630,FINSGATE
"Sumo Logic, Inc.",,,1643269,Salesforce,1,Services-Prepackaged Software,7372,Large accelerated filer,REDWOOD CITY,CA,94063,650-670-8002,,"""Salesforce platform""",10-K/A,2023-04-25,"Redwood City, CA",CA,DE,,0131,"855 MAIN STREET, SUITE 100"
"INTERPUBLIC GROUP OF COMPANIES, INC.",IPG,NYSE,51644,Salesforce,1,Services-Advertising Agencies,7311,Large accelerated filer,NEW YORK,NY,10022,212-704-1200,,"""Salesforce platform""",10-K,2023-02-21,"New York, NY",NY,DE,IPG,1231,909 THIRD AVENUE
"Kaleyra, Inc.",,,1719489,Salesforce,1,Services-Computer Processing & Data Preparation,7374,Accelerated filer<br>Smaller reporting company,NEW YORK,NY,10004,(917) 508-9185,,"""Salesforce platform""",10-K,2023-03-16,"New York, NY",NY,DE,,1231,17 STATE STREET
